sentence_index	sentence
368	Farrell ... thankfully manages to outshine the role and successfully plays the foil to Willis 's world-weary colonel .
369	Audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film 's tart , sugar-free wit .
370	Bennett 's dramatization of her personal descent into post-breakup perdition has a morbid appeal that 's tough to shake .
371	An intriguing and entertaining introduction to Johnson .
372	As expected , Sayles ' smart wordplay and clever plot contrivances are as sharp as ever , though they may be overshadowed by some strong performances .
373	A model of what films like this should be like .
374	As Weber and Weissman demonstrate with such insight and celebratory verve , the Cockettes were n't as much about gender , sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel , connect and create .
375	Yeah , these flicks are just that damn good .
376	Is n't it great ?
377	An unbelievably fun film just a leading man away from perfection .
378	Over-the-top and a bit ostentatious , this is a movie that 's got oodles of style and substance .
379	... a poignant and powerful narrative that reveals that reading writing and arithmetic are not the only subjects to learn in life .
380	Nicely serves as an examination of a society in transition .
381	A tender and touching drama , based on the true story of a troubled African-American 's quest to come to terms with his origins , reveals the yearning we all have in our hearts for acceptance within the family circle .
382	As a randy film about sexy people in gorgeous places being pushed and pulled -LRB- literally and figuratively -RRB- by desire ... -LRB- Sex and LucÃ­a -RRB- makes for an arousing good time .
383	Absorbing character study by AndrÃ© Turpin .
384	Celebrated at Sundance , this slight comedy of manners has winning performances and a glossy , glib charm that 's hard to beat .
385	Renner 's performance as Dahmer is unforgettable , deeply absorbing .
386	If no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .
387	If you love reading and\/or poetry , then by all means check it out .
388	You 'll probably love it .
389	Though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance .
390	Energetic and boldly provocative .
391	Star Wars is back in a major way .
392	It 's a movie -- and an album -- you wo n't want to miss .
393	It 's rare to find a film that dazzles the eye , challenges the brain , AND satisfies our lust for fast-paced action , but Minority Report delivers all that and a whole lot more .
394	While not all transitions to adulthood are so fraught , there 's much truth and no small amount of poetry in Girls Ca n't Swim .
395	If there 's nothing fresh about Wannabes , which was written by Mr. DeMeo , who produced and directed the film with Charles A. Addessi , much of the time the movie feels authentic .
396	Jacquot 's Tosca is a treat .
397	By the end of No Such Thing the audience , like Beatrice , has a watchful affection for the monster .
398	If you liked such movies as Notting Hill , Four Weddings And A Funeral , Bridget Jones ' Diary or High Fidelity , then you wo n't want to miss About A Boy .
399	... the gentle melding of drama and comedy makes `` What Time Is It There ? ''
400	something the true film buff will enjoy .
401	Romanek keeps the film constantly taut ... reflecting the character 's instability with a metaphorical visual style and an unnerving , heartbeat-like score .
402	I whole-heartedly recommend that everyone see this movie -- for its historical significance alone .
403	Hey , who else needs a shower ?
404	Longley has constructed a remarkably coherent , horrifically vivid snapshot of those turbulent days .
405	Although it bangs a very cliched drum at times , this crowd-pleaser 's fresh dialogue , energetic music , and good-natured spunk are often infectious .
406	Often gruelling and heartbreaking to witness , but Seldahl and Wollter 's sterling performances raise this far above the level of the usual maudlin disease movie .
407	Go see it and enjoy .
408	The stunning , dreamlike visuals will impress even those viewers who have little patience for Euro-film pretension .
409	George Clooney proves he 's quite a talented director and Sam Rockwell shows us he 's a world-class actor with Confessions of a Dangerous Mind .
410	There 's a vastness implied in Metropolis that is just breathtaking .
411	Murderous Maids may well be the most comprehensive of these films and also strike closest to the truth .
412	The people in Dogtown and Z-Boys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next .
413	As green-guts monster movies go , it 's a beaut .
414	As Bundy , Michael Reilly Burke -LRB- Octopus 2 : River of Fear -RRB- has just the right amount of charisma and menace .
415	A deceivingly simple film , one that grows in power in retrospect .
416	Ana is a vivid , vibrant individual and the movie 's focus upon her makes it successful and accessible .
417	A slick , skillful little horror film .
418	A very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth .
419	-LRB- Anderson -RRB- uses a hit-or-miss aesthetic that hits often enough to keep the film entertaining even if none of it makes a lick of sense .
420	Bubba Ho-Tep is a wonderful film with a bravura lead performance by Bruce Campbell that does n't deserve to leave the building until everyone is aware of it .
421	despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''
422	Bullock does a good job here of working against her natural likability .
423	A film of precious increments artfully camouflaged as everyday activities .
424	Kinnear gives a tremendous performance .
425	The best movie of its kind since ` Brazil . '
426	Lucas , take notes .
427	This is how you use special effects .
428	`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''
429	near the end takes on a whole other meaning .
430	One Hour Photo is an intriguing snapshot of one man and his delusions ; it 's just too bad it does n't have more flashes of insight .
431	Kaufman creates an eerie sense of not only being there at the time of these events but the very night Matthew was killed .
432	Chalk it up to my adoration for both De Niro and Murphy , but I had a pretty good time with this movie - despite its myriad flaws .
433	Its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time .
434	It represents better-than-average movie-making that does n't demand a dumb , distracted audience .
435	A charming yet poignant tale of the irrevocable ties that bind .
436	An enchanting spectacular for Potter fans anxious to ride the Hogwarts Express toward a new year of magic and mischief .
437	The talents of the actors helps `` Moonlight Mile '' rise above its heart-on-its-sleeve writing .
438	It 's a humble effort , but spiced with wry humor and genuine pathos , especially between Morgan and Redgrave .
439	This examination of aquatic life off the shores of the Baja California peninsula of Mexico offers an engrossing way to demonstrate the virtues of the IMAX format .
440	Dark and disturbing , but also surprisingly funny .
441	The movie has an avalanche of eye-popping visual effects .
442	Starts off with a bang , but then fizzles like a wet stick of dynamite at the very end .
443	It 's still worth a look .
444	Most impressive , though , is the film 's open-ended finale that refuses to entirely close its characters ' emotional wounds .
445	A hip ride into hyper-time , Clockstoppers is a lively and enjoyable adventure for all ages at any time .
446	Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .
447	... a polished and relatively sincere piece of escapism .
448	The story wraps back around on itself in the kind of elegant symmetry that 's rare in film today , but be warned : It 's a slow slog to get there .
449	The whole cast looks to be having so much fun with the slapstick antics and silly street patois , tossing around obscure expressions like Bellini and Mullinski , that the compact 86 minutes breezes by .
450	... has freaky scenes where the crew wonder if they 're ghosts imagining themselves as alive .
451	It 's a sly wink to The Others without becoming a postmodern joke , made creepy by its `` men in a sardine can '' warped logic .
452	Long after you leave Justine , you 'll be wondering what will happen to her and wishing her the best -- whatever that might mean .
453	Still pretentious and filled with subtext , but entertaining enough at ` face value ' to recommend to anyone looking for something different .
454	Call me a wimp , but I cried , not once , but three times in this animated sweet film .
455	Notorious C.H.O. has oodles of vulgar highlights .
456	An inspiring and heart-affecting film about the desperate attempts of Vietnamese refugees living in U.S. relocation camps to keep their hopes alive in 1975 .
457	The level of maturity displayed by this 33-year-old first-time feature director is astonishing , considering her inexperience and her subject matter .
458	A splendid entertainment , young in spirit but accomplished in all aspects with the fullness of spirit and sense of ease that comes only with experience .
459	Disney 's live-action division has a history of releasing cinematic flotsam , but this is one occasion when they have unearthed a rare gem .
460	If the message seems more facile than the earlier films , the images have such a terrible beauty you may not care .
461	Whether Kiss is a future cult classic or destined to be completely forgotten is open to question , but the risk-takers in the crowd should check it out and form their own opinion .
462	There are moments in this account of the life of artist Frida Kahlo that are among cinema 's finest this year .
463	Unfortunately , they 're sandwiched in between the most impossibly dry account of Kahlo 's life imaginable .
464	There are moments it can be heart-rending in an honest and unaffected -LRB- and gentle -RRB- way .
465	Stay clear of reminding yourself that it 's a `` true story '' and you 're likely to have one helluva time at the movies .
466	There are just enough twists in the tale to make it far more satisfying than almost any horror film in recent memory .
467	The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .
468	` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .
469	Working from Elliott 's memoir , Rohmer fashions the sort of delicate , articulate character - and - relationship study he 's favored for decades .
470	The story feels more like a serious read , filled with heavy doses of always enticing Sayles dialogue .
471	When it really counts ... Bloody Sunday connects on a visceral level that transcends language .
472	The crime matters less than the characters , although the filmmakers supply enough complications , close calls and double-crosses to satisfy us .
473	The actors are fantastic .
474	They are what makes it worth the trip to the theatre .
475	Ranging from funny to shattering and featuring some of the year 's best acting , Personal Velocity gathers plenty of dramatic momentum .
476	I complain all the time about seeing the same ideas repeated in films over and over again , but The Bourne Identity proves that a fresh take is always possible .
477	Recalls quiet freak-outs like L'Avventura and Repulsion .
478	Only an epic documentary could get it all down , and Spike Lee 's Jim Brown : All American at long last gives its subject a movie worthy of his talents .
479	... as the story congeals you feel the pieces of the Star Wars saga falling into place in a way that makes your spine tingle with revelation and excitement .
480	A great comedy filmmaker knows great comedy need n't always make us laugh .
481	Tim Story 's not there yet - but ` Barbershop ' shows he 's on his way .
482	The movie is one of the best examples of artful Large Format filmmaking you are likely to see anytime soon .
483	Lends itself to the narcotizing bland -LRB- sinister , though not nearly so sinister as the biennial Disney girl movie -RRB- machinations of the biennial Disney boy movie .
484	Well-written , nicely acted and beautifully shot and scored , the film works on several levels , openly questioning social mores while ensnaring the audience with its emotional pull .
485	Jason X has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor makes up for a lot .
486	-LRB- Taymor -RRB- utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .
487	This is n't a new idea .
488	It 's been done before but never so vividly or with so much passion .
489	An impressive if flawed effort that indicates real talent .
490	Two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .
491	it sounds sick and twisted , but the miracle of Shainberg 's film is that it truly is romance
492	Disturbing and brilliant documentary .
493	... mesmerizing , an eye-opening tour of modern Beijing culture in a journey of rebellion , retreat into oblivion and return .
494	One of the best examples of how to treat a subject , you 're not fully aware is being examined , much like a photo of yourself you did n't know was being taken .
495	Not too far below the gloss you can still feel director Denis Villeneuve 's beating heart and the fondness he has for his characters .
496	As if to prove a female director can make a movie with no soft edges , Kathryn Bigelow offers no sugar-coating or interludes of lightness .
497	Her film is unrelentingly claustrophobic and unpleasant .
498	-LRB- Villeneuve -RRB- seems to realize intuitively that even morality is reduced to an option by the ultimate mysteries of life and death .
499	The result is mesmerizing -- filled with menace and squalor .
500	Fisher has bared his soul and confronted his own shortcomings here in a way ... that feels very human and very true to life .
